row	example	system	relation	displayed_result	inputs	queries	run_ids	reason
C1	independent causes	GK	N	.80	inputs/gk/c1.gkp	c1_q	gk_c1	
C1	independent causes	ProbLog	E	.80	inputs/problog/problog_cases.pl	c1_q	problog_cases	
C1	independent causes	PASTA	E	[.80,.80]	inputs/pasta/pasta_cases.lp	c1_q	pasta_c1_q	
C1	independent causes	plingo	E	.80	inputs/plingo/plingo_cases.lp	c1_q	plingo_cases	
C1	independent causes	smProbLog	E	.80	inputs/smproblog/smproblog_cases.pl	c1_q	smproblog_cases	
C1	independent causes	Tweety	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	clingo	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	DLV/I-DLV	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	s(CASP)	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	GK	N	.30	inputs/gk/c2.gkp	c2_q	gk_c2	
C2	conjunctive causes	ProbLog	E	.30	inputs/problog/problog_cases.pl	c2_q	problog_cases	
C2	conjunctive causes	PASTA	E	[.30,.30]	inputs/pasta/pasta_cases.lp	c2_q	pasta_c2_q	
C2	conjunctive causes	plingo	E	.30	inputs/plingo/plingo_cases.lp	c2_q	plingo_cases	
C2	conjunctive causes	smProbLog	E	.30	inputs/smproblog/smproblog_cases.pl	c2_q	smproblog_cases	
C2	conjunctive causes	Tweety	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	clingo	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	DLV/I-DLV	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	s(CASP)	U	U				The selected system does not return the confidence object tested by this row.
D1	uncertain contrary exception	GK	N	-.80	inputs/gk/d1.gkp	d1_pos	gk_d1	
D1	uncertain contrary exception	ProbLog	A	.10/.90	inputs/problog/problog_cases.pl	d1_pos;d1_neg	problog_cases	
D1	uncertain contrary exception	PASTA	A	[.10,.10]/[.90,.90]	inputs/pasta/pasta_cases.lp	d1_pos;d1_neg	pasta_d1_pos;pasta_d1_neg	
D1	uncertain contrary exception	plingo	A	.10/.90	inputs/plingo/plingo_cases.lp	d1_pos;d1_neg	plingo_cases	
D1	uncertain contrary exception	smProbLog	A	.10/.90	inputs/smproblog/smproblog_cases.pl	d1_pos;d1_neg	smproblog_cases	
D1	uncertain contrary exception	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
