row	example	system	relation	displayed_result	inputs	queries	run_ids	reason
C1	independent causes	GK	N	.80	gk/c1.gkp	c1_q	gk_c1	
C1	independent causes	ProbLog	E	.80	problog_cases.pl	c1_q	problog_cases	
C1	independent causes	PASTA	E	[.80,.80]	pasta_cases.lp	c1_q	pasta_c1_q	
C1	independent causes	plingo	E	.80	plingo_cases.lp	c1_q	plingo_cases	
C1	independent causes	smProbLog	E	.80	smproblog_cases.pl	c1_q	smproblog_cases	
C1	independent causes	Tweety	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	clingo	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	DLV/I-DLV	U	U				The selected system does not return the confidence object tested by this row.
C1	independent causes	s(CASP)	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	GK	N	.30	gk/c2.gkp	c2_q	gk_c2	
C2	conjunctive causes	ProbLog	E	.30	problog_cases.pl	c2_q	problog_cases	
C2	conjunctive causes	PASTA	E	[.30,.30]	pasta_cases.lp	c2_q	pasta_c2_q	
C2	conjunctive causes	plingo	E	.30	plingo_cases.lp	c2_q	plingo_cases	
C2	conjunctive causes	smProbLog	E	.30	smproblog_cases.pl	c2_q	smproblog_cases	
C2	conjunctive causes	Tweety	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	clingo	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	DLV/I-DLV	U	U				The selected system does not return the confidence object tested by this row.
C2	conjunctive causes	s(CASP)	U	U				The selected system does not return the confidence object tested by this row.
D1	uncertain contrary exception	GK	N	-.80	gk/d1.gkp	d1_pos	gk_d1	
D1	uncertain contrary exception	ProbLog	A	.10/.90	problog_cases.pl	d1_pos;d1_neg	problog_cases	
D1	uncertain contrary exception	PASTA	A	[.10,.10]/[.90,.90]	pasta_cases.lp	d1_pos;d1_neg	pasta_d1_pos;pasta_d1_neg	
D1	uncertain contrary exception	plingo	A	.10/.90	plingo_cases.lp	d1_pos;d1_neg	plingo_cases	
D1	uncertain contrary exception	smProbLog	A	.10/.90	smproblog_cases.pl	d1_pos;d1_neg	smproblog_cases	
D1	uncertain contrary exception	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
D1	uncertain contrary exception	clingo	A	no/yes	asp_cases.lp	d1_pos;d1_neg	clingo_cases	
D1	uncertain contrary exception	DLV/I-DLV	A	no/yes	asp_cases.lp	d1_pos;d1_neg	dlv_cases	
D1	uncertain contrary exception	s(CASP)	A	no/yes	scasp_cases.pl	d1_pos;d1_neg	scasp_d1_pos;scasp_d1_neg	
D2	weighted facts and default	GK	N	.54	gk/d2.gkp	d2_h	gk_d2	
D2	weighted facts and default	ProbLog	A	.27	problog_cases.pl	d2_h	problog_cases	
D2	weighted facts and default	PASTA	A	[.27,.27]	pasta_cases.lp	d2_h	pasta_d2_h	
D2	weighted facts and default	plingo	A	.27	plingo_cases.lp	d2_h	plingo_cases	
D2	weighted facts and default	smProbLog	A	.27	smproblog_cases.pl	d2_h	smproblog_cases	
D2	weighted facts and default	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
D2	weighted facts and default	clingo	A	no	asp_cases.lp	d2_h	clingo_cases	
D2	weighted facts and default	DLV/I-DLV	A	no	asp_cases.lp	d2_h	dlv_cases	
D2	weighted facts and default	s(CASP)	A	no	scasp_cases.pl	d2_h	scasp_d2_h	
D3	contested premise	GK	N	0_i	gk/d3.gkp	d3_h	gk_d3	
D3	contested premise	ProbLog	A	.225	problog_cases.pl	d3_h	problog_cases	
D3	contested premise	PASTA	A	[.225,.225]	pasta_cases.lp	d3_h	pasta_d3_h	
D3	contested premise	plingo	A	.225	plingo_cases.lp	d3_h	plingo_cases	
D3	contested premise	smProbLog	A	.225	smproblog_cases.pl	d3_h	smproblog_cases	
D3	contested premise	Tweety	U	U				No faithful encoding of the row's GK construct is claimed.
D3	contested premise	clingo	A	no	asp_cases.lp	d3_h	clingo_cases	
D3	contested premise	DLV/I-DLV	A	no	asp_cases.lp	d3_h	dlv_cases	
D3	contested premise	s(CASP)	A	no	scasp_cases.pl	d3_h	scasp_d3_h	
D4	Nixon defaults	GK	N	0_i	gk/d4.gkp	d4_pos	gk_d4	
D4	Nixon defaults	ProbLog	U	U				The selected semantics does not represent the row's stable-model choice.
D4	Nixon defaults	PASTA	N	[0,1]/[0,1]	pasta_cases.lp	d4_pos;d4_neg	pasta_d4_pos;pasta_d4_neg	
D4	Nixon defaults	plingo	N	.50/.50	plingo_cases.lp	d4_pos;d4_neg	plingo_cases	
D4	Nixon defaults	smProbLog	N	.50/.50	smproblog_d4.pl	d4_pos;d4_neg	smproblog_d4	
D4	Nixon defaults	Tweety	N	undec./undec.	tweety/d4_nixon.delp	pacifist(nixon);~pacifist(nixon)	tweety_reference	
